date,expt_type,exp,duration,genetic_background,construct,expr_type,xy,coord,sub_coord,start,end,birth,sen,dead,fluor_loss,escaped,censor,rls,div_time,growth_slope,desc,path,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0041-0079-0557,Rectangle,543,63,28,32,4,none,none,0,41,0,41,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0045-0079-0554,Rectangle,540,63,28,32,4,none,none,0,45,0,45,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0047-0077-0552,Rectangle,538,61,28,32,4,none,none,0,47,0,47,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0048-0077-0548,Rectangle,534,61,28,32,4,none,none,0,48,0,48,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0050-0077-0536,Rectangle,522,61,28,32,4,none,none,0,50,0,50,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0053-0077-0533,Rectangle,519,61,28,32,4,none,none,0,53,0,53,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0054-0080-0514,Rectangle,500,64,28,32,4,none,none,0,54,0,54,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0055-0080-0507,Rectangle,493,64,28,32,4,none,none,0,55,0,55,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0056-0079-0502,Rectangle,488,63,28,32,4,none,none,0,56,0,56,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0057-0079-0495,Rectangle,481,63,28,32,4,none,none,0,57,0,57,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0058-0080-0484,Rectangle,470,64,28,32,4,none,none,0,58,0,58,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0001-0446-0602,Rectangle,584,430,37,33,4,none,none,0,1,0,1,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0015-0448-0592,Rectangle,574,432,37,33,4,none,none,0,15,0,15,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0024-0447-0589,Rectangle,571,431,37,33,4,none,none,0,24,0,24,0
